caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
TUTOR_BCV_EZ_INJECTION_EXECUTE,tutor-test-corpus,Plug-in execute() de Bytecode Viewer; metodo diana del corpus de Saborido et al. 2022 (IEEE Access).,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_HAS_ELSE, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_HAS_ELSE;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,124,124,0,void execute(List<ClassNode>),Sin oportunidades detectadas
TUTOR_BCV_RESOURCE_DECOMPILE_SAVE_ALL,tutor-test-corpus,Decompilacion masiva con cuadros de dialogo; metodo diana del corpus de Saborido et al. 2022.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,1,1,0,void decompileSaveAll(),Sin oportunidades detectadas
TUTOR_BCV_RESOURCE_DECOMPILE_SAVE_OPENED,tutor-test-corpus,Variante de decompilacion solo sobre recursos abiertos; metodo diana del corpus de Saborido et al. 2022.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,2,2,0,void decompileSaveOpenedOnly(),Sin oportunidades detectadas
TUTOR_JMETAL_EBES_READ_DATA_FILE,tutor-test-corpus,Parser de fichero de definicion EBE; metodo diana del corpus de Saborido et al. 2022.,false,"Descartado por: SINGLE_STATEMENT_NOT_IF, OUTER_BLOCK_MULTIPLE_STATEMENTS",SINGLE_STATEMENT_NOT_IF;OUTER_BLOCK_MULTIPLE_STATEMENTS,0,0,0,126,126,0,void EBEsReadDataFile(String),Sin oportunidades detectadas
TUTOR_JMETAL_EBES_VARIABLE_POSITION,tutor-test-corpus,Calculo de posicion de variables; metodo diana del corpus de Saborido et al. 2022.,false,Descartado por: OUTER_HAS_ELSE,OUTER_HAS_ELSE,0,0,0,16,16,0,int Variable_Position(),Sin oportunidades detectadas
TUTOR_JMETAL_LZ09_OBJECTIVE,tutor-test-corpus,Funcion objetivo del benchmark LZ09; metodo diana del corpus de Saborido et al. 2022.,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS;OUTER_HAS_ELSE,1,1,1,42,39,-3,"void objective(List<Double>, List<Double>)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
