caseId,origin,description,eligible,discardReason,discardCategories,opportunitiesDetected,opportunitiesApplied,totalPasses,complexityBefore,complexityAfter,delta,methodSignature,observations
PILOT_VALID_SIMPLE,synthetic-realistic,Validación de rango de entrada — patrón canónico if-if sin else,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,3,2,-1,"void processIfInRange(int, int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_VALID_NULL_CHECK,synthetic-realistic,Guarda null seguida de comprobación de propiedad — patrón frecuente en Java,true,,OUTER_BLOCK_MULTIPLE_STATEMENTS,1,1,1,3,2,-1,void processArray(int[]),Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_VALID_BOUNDS_CHECK,synthetic-realistic,Doble comprobación de límites inferior y superior — validación de índice,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,4,2,-2,"void checkBounds(int[], int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_VALID_NESTED_IN_LOOP,synthetic-realistic,Filtrado condicional dentro de bucle — patrón de procesamiento de colecciones,true,,SINGLE_STATEMENT_NOT_IF,1,1,1,6,4,-2,"void filterAndProcess(int[], int)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
PILOT_INVALID_ELSE_BRANCH,synthetic-realistic,If externo con else — no combinable por precondición P1,false,"Descartado por: OUTER_HAS_ELSE, SINGLE_STATEMENT_NOT_IF",OUTER_HAS_ELSE;SINGLE_STATEMENT_NOT_IF,0,0,0,4,4,0,"void classifyValue(int, int)",Sin oportunidades detectadas
PILOT_INVALID_METHOD_GUARD,synthetic-realistic,Guarda con llamada a método en condición — rechazado por P5 (side effects),false,"Descartado por: METHOD_CALL_IN_CONDITION, SINGLE_STATEMENT_NOT_IF",METHOD_CALL_IN_CONDITION;SINGLE_STATEMENT_NOT_IF,0,0,0,3,3,0,"void processIfNotEmpty(String, int)",Sin oportunidades detectadas
PILOT_INVALID_MULTI_STMT,synthetic-realistic,Bloque externo con declaración + if anidado — rechazado por P2,false,"Descartado por: OUTER_BLOCK_MULTIPLE_STATEMENTS, SINGLE_STATEMENT_NOT_IF",OUTER_BLOCK_MULTIPLE_STATEMENTS;SINGLE_STATEMENT_NOT_IF,0,0,0,3,3,0,"void computeWithLocal(int, int)",Sin oportunidades detectadas
PILOT_MIXED_OPPORTUNITIES,synthetic-realistic,Método con un patrón combinable y otro no combinable,true,,SINGLE_STATEMENT_NOT_IF;METHOD_CALL_IN_CONDITION,1,1,1,6,5,-1,"void mixedPatterns(int, int, String)",Pases hasta punto fijo: 1. Transformaciones aplicadas: 1
